index,source,asOf,funding,category,particulars,signingDate,effectiveDate,amountUSDMillion,sourceType,value,convertedValue,notes,dofLinks,financier,externalLinks,borrowerLinks,source
1,DOF,10/2/20,external,Budgetary Support Financing,WB Third Disaster Risk Management Development Policy Loan,4/10/20,4/27/20,500,loans,500000000,24937800000,,https://www.dof.gov.ph/download/wb-third-disaster-risk-management-development-policy-loan/?wpdmdl=26166,World Bank,https://projects.worldbank.org/en/projects-operations/project-detail/P171440,https://projects.worldbank.org/en/projects-operations/projects-list?countrycode_exact=PH,International Bank For Reconstruction And Development
2,DOF,10/2/20,external,Budgetary Support Financing,ADB COVID-19 Active Response and Expenditure Support Program,4/23/20,4/27/20,1500,loans,1500000000,74813400000,,https://www.dof.gov.ph/download/adb-covid-19-active-response-and-expenditure-support-program/?wpdmdl=26163,Asian Development Bank,https://www.adb.org/projects/54138-001/main#project-pds,https://www.adb.org/projects/country/phi,
3,DOF,10/2/20,external,Budgetary Support Financing,ADB Social Protection Support Project - Second Additional Financing,4/28/20,5/5/20,200,loans,200000000,9975120000,,https://www.dof.gov.ph/download/adb-social-protection-support-project-second-additional-financing/?wpdmdl=26165,Asian Development Bank,https://www.adb.org/projects/43407-017/main#project-pds,https://www.adb.org/projects/country/phi,
4,DOF,10/2/20,external,Budgetary Support Financing,ROP Bonds Due 2045 with 2.950% coupon,5/5/20,,1350,loans,1350000000,67332060000,,https://www.dof.gov.ph/download/rop-bonds-due-2045/?wpdmdl=26167,Government Bonds,,,
5,DOF,10/2/20,external,Budgetary Support Financing,ROP Bonds Due 2030 with 2.457% coupon,5/5/20,,1000,loans,1000000000,49875600000,,https://www.dof.gov.ph/download/rop-bonds-due-2030/?wpdmdl=26168,Government Bonds,,,
6,DOF,10/2/20,external,Budgetary Support Financing,WB Emergency COVID-19 Response Development Policy Loan,6/3/20,6/19/20,500,loans,500000000,24937800000,,https://www.dof.gov.ph/download/wb-emergency-covid-19-response-development-policy-loan/?wpdmdl=26249,World Bank,https://projects.worldbank.org/en/projects-operations/project-detail/P174120,https://projects.worldbank.org/en/projects-operations/projects-list?countrycode_exact=PH,International Bank For Reconstruction And Development
7,DOF,10/2/20,external,Budgetary Support Financing,"ADB Support to Capital Market Generated Infrastructure Financing, Subprogram 1",6/4/20,6/29/20,400,loans,400000000,19950240000,,https://www.dof.gov.ph/download/adb-support-to-capital-market-generated-infrastructure-financing-subprogram-1/?wpdmdl=26250,Asian Development Bank,https://www.adb.org/projects/53047-001/main#project-pds,https://www.adb.org/projects/country/phi,
8,DOF,10/2/20,external,Budgetary Support Financing,AIIB CARES Program,6/5/20,6/30/20,750,loans,750000000,37406700000,,https://www.dof.gov.ph/download/philippines-cares-program-loan-agreement-with-aiib-signed/?wpdmdl=26341,Asian Infrastructure Investment Bank (AIIB),https://www.aiib.org/en/projects/details/2020/approved/_download/Philippines/PSI-Philippines-CARES-program.pdf,https://www.aiib.org/en/projects/list/index.html,
9,DOF,10/2/20,external,Budgetary Support Financing,"AFD Expanding Private Participation in Infrastructure Program, Subprogram 2",6/9/20,8/7/20,165.42,loans,165420000,8250421752,Amount in original currency: EUR150.00 million,https://www.dof.gov.ph/download/expanding-private-participation-in-infrastructure-program-subprogram-2/?wpdmdl=26342,Agence Française de Développement,,"https://www.afd.fr/en/ressources-accueil?query=&sort=publication_date,desc&size=20&filter[0]=source_k=afd&filter[1]=type_k=resource&filter[2]=country_k=Philippines&facetOptions[0]=resource_type_k,size,200&facetOptions[1]=thematic_k,size,200&facetOptions[2]=country_k,size,200&facetOptions[3]=collection_k,size,200&facetOptions[4]=year_k,order,_term&from=0",
10,DOF,10/2/20,external,Budgetary Support Financing,"AFD Inclusive Finance Development Program, Subprogram 1[b]",6/9/20,8/7/20,110.28,loans,110280000,5500281168,Amount in original currency: EUR100.00 million,https://www.dof.gov.ph/download/inclusive-finance-development-program-subprogram-1/?wpdmdl=26344,Agence Française de Développement,,"https://www.afd.fr/en/ressources-accueil?query=&sort=publication_date,desc&size=20&filter[0]=source_k=afd&filter[1]=type_k=resource&filter[2]=country_k=Philippines&facetOptions[0]=resource_type_k,size,200&facetOptions[1]=thematic_k,size,200&facetOptions[2]=country_k,size,200&facetOptions[3]=collection_k,size,200&facetOptions[4]=year_k,order,_term&from=0",
11,DOF,10/2/20,external,Budgetary Support Financing,ADB Expanded Social Assistance Program,6/15/20,7/21/20,500,loans,500000000,24937800000,,https://www.dof.gov.ph/download/expanded-social-assistance-program/?wpdmdl=26346,Asian Development Bank,https://www.adb.org/projects/52257-001/main#project-pds,https://www.adb.org/projects/country/phi,
12,DOF,10/2/20,external,Budgetary Support Financing,JICA COVID-19 Crisis Response Emergency Support Loan,7/1/20,8/11/20,458.95,loans,458950000,22890406620,Amount in original currency: JPY50.00 billion,https://www.dof.gov.ph/download/covid-19-crisis-response-emergency-support-loan/?wpdmdl=26398,Japan International Cooperation Agency,https://www.jica.go.jp/english/news/press/2020/20200701_10_en.html,https://www2.jica.go.jp/en/yen_loan/index.php/module/search?anken_name=&area1=0&area2=0&area3=0&country1=73&country2=0&country3=0&section1=0&section2=0&section3=0&industry1=0&industry2=0&industry3=0&chotatsu_kubun=0&from_year=&to_year=&currency=jpy&submit=Search,
13,DOF,10/2/20,external,Budgetary Support Financing,"ADB Competitive and Inclusive Agriculture Development Program, Subprogram 1",8/20/20,9/16/20,400,loans,400000000,19950240000,,https://www.dof.gov.ph/download/competitive-and-inclusive-agriculture-development-program-subprogram-1/?wpdmdl=26892,Asian Development Bank,https://www.adb.org/projects/53353-001/main#project-pds,https://www.adb.org/projects/country/phi,
14,DOF,10/2/20,external,Budgetary Support Financing,"ADB Inclusive Finance Development Program, Subprogram 2",8/27/20,,300,loans,300000000,14962680000,,https://www.dof.gov.ph/download/inclusive-finance-development-program-subprogram-2/?wpdmdl=26893,Asian Development Bank,https://www.adb.org/projects/51309-002/main#project-pds,https://www.adb.org/projects/country/phi,
15,DOF,10/2/20,external,Budgetary Support Financing,JICA Post Disaster Standby Loan (Phase 2),9/15/20,,458.95,loans,458950000,22890406620,"Amount in original currency: JPY50.00 billion; disbursement is contingent on pre-agreed triggers including the declaration of a state of calamity as a result of a natural or health-related disaster, declaration of a public health emergency, and imposition of an enhanced community quarantine or its functional equivalent.",https://www.dof.gov.ph/download/jica-post-disaster-standby-loan-phase-2/?wpdmdl=26888,Japan International Cooperation Agency,https://www.jica.go.jp/english/news/press/2020/20200901_31_en.html,https://www2.jica.go.jp/en/yen_loan/index.php/module/search?anken_name=&area1=0&area2=0&area3=0&country1=73&country2=0&country3=0&section1=0&section2=0&section3=0&industry1=0&industry2=0&industry3=0&chotatsu_kubun=0&from_year=&to_year=&currency=jpy&submit=Search,
16,DOF,10/2/20,external,Budgetary Support Financing,ADB Disaster Resilience Improvement Program[e],9/15/20,,500,loans,500000000,24937800000,"For disbursement, a Disaster Event shall have occurred and in connection therewith: (i) for a natural hazard, the President has declared a state of calamity or taken equivalent measures; and (ii) for a health related emergency, the Borrower has enacted a law in response to a public health emergency, or the President has (a) declared a state of public health emergency, or (b) taken an equivalent measure including issuance of a proclamation or an executive order declaring or describing a worsening health situation, or imposing an enhanced community quarantine or its functional equivalent",https://www.dof.gov.ph/download/adb-disaster-resilience-improvement-program/?wpdmdl=26980,Asian Development Bank,https://www.adb.org/projects/54022-001/main#project-pds,https://www.adb.org/projects/country/phi,
17,DOF,10/2/20,external,Budgetary Support Financing,WB Social Welfare Development and Reform Project II - Additional Financing[f],11/28/19,1/6/20,200,loans,200000000,9975120000,"Total loan amount is USD300.00 million, of which USD200.00 million is availed for budgetary support purposes in light of COVID-19 response",https://www.dof.gov.ph/download/wb-social-welfare-development-and-reform-project-ii-additional-financing/?wpdmdl=26169,World Bank,https://projects.worldbank.org/en/projects-operations/project-detail/P169637,https://projects.worldbank.org/en/projects-operations/projects-list?countrycode_exact=PH,International Bank For Reconstruction And Development
18,DOF,10/2/20,external,Grant Assistance,ADB COVID-19 Emergency Response Project,3/16/20,,3,grants,3000000,149626800,,https://www.dof.gov.ph/download/adb-covid-19-emergency-response-project/?wpdmdl=26170,Asian Development Bank,https://www.adb.org/projects/54133-001/main,https://www.adb.org/projects/country/phi,Asia Pacific Disaster Response Fund
19,DOF,10/2/20,external,Grant Assistance,ADB Rapid Emergency Supplies Provision[g],3/27/20,,5,grants,5000000,249378000,"Executed through the issuance of a no-objection letter dated March 27, 2020",https://www.dof.gov.ph/download/adb-rapid-emergency-supplies-provision-nol/?wpdmdl=26171,Asian Development Bank,https://www.adb.org/projects/54158-002/main#project-pds,https://www.adb.org/projects/country/phi,
20,DOF,10/2/20,external,Grant Assistance,Government of Japan Non-Project Grant Aid for the Provision of Medical Equipment to DOH[h],6/8/20,,18.36,grants,18360000,915716016,"Provided through Exchange of Notes dated June 8, 2020; Amount in original currency: JPY2.00 billion; Agent Agreement which will provide basis for procurement is yet to be signed",,Government of Japan,https://www.ph.emb-japan.go.jp/itprtop_en/11_000001_00128.html,,
21,DOF,10/2/20,external,Project Loan Financing,WB COVID-19 Emergency Response Project,4/28/20,5/6/20,100,loans,100000000,4987560000,,https://www.dof.gov.ph/download/wb-covid-19-emergency-response-project/?wpdmdl=26172,World Bank,https://projects.worldbank.org/en/projects-operations/project-detail/P173877,https://projects.worldbank.org/en/projects-operations/projects-list?countrycode_exact=PH,International Bank For Reconstruction And Development
22,DOF,10/2/20,external,Project Loan Financing,WB Support to Parcelization of Lands for Individual Titling Project,7/14/20,,370,loans,370000000,18453972000,,https://www.dof.gov.ph/download/wb-support-to-parcelization-of-lands-for-individual-titling-split-project/?wpdmdl=26554,World Bank,https://projects.worldbank.org/en/projects-operations/project-detail/P172399,https://projects.worldbank.org/en/projects-operations/projects-list?countrycode_exact=PH,International Bank For Reconstruction And Development
23,DOF,10/2/20,external,Project Loan Financing,ADB Health System Enhancement to Address and Limit COVID-19 Program,9/8/20,,125,loans,125000000,6234450000,,https://www.dof.gov.ph/download/health-system-enhancement-to-address-and-limit-covid-19/?wpdmdl=26891,Asian Development Bank,https://www.adb.org/projects/54171-002/main,https://www.adb.org/projects/country/phi,Ordinary capital resources
24,DBM,10/29/20,internal,,,,,,Discontinued projects,3.00611E+11,0,,,,https://www.dbm.gov.ph/index.php/programs-projects/status-of-covid-19-releases#summary-of-covid-19-releases-by-agency-and-by-funding-source,,
25,DBM,10/29/20,internal,,,,,,Regular agency budget,21013937256,0,,,,https://www.dbm.gov.ph/index.php/programs-projects/status-of-covid-19-releases#summary-of-covid-19-releases-by-agency-and-by-funding-source,,
26,DBM,10/29/20,internal,,,,,,Special purpose fund,1.0763E+11,0,,,,https://www.dbm.gov.ph/index.php/programs-projects/status-of-covid-19-releases#summary-of-covid-19-releases-by-agency-and-by-funding-source,,
27,DBM,10/29/20,internal,,,,,,Excess revenue collections and unused budget,42453922668,0,,,,,,
