dataSource,dateOfReport,reportNo,pageRef,actionPlan,actionPlanName,actionPlanProgram,implementingAgency,agencyName,programName,programAcronym,programName2,assistanceType,asOfDate,targetBudget,expendedAmount,beneficiaryTargetTotal,beneficiaryTotal,beneficaryCategoryOrig,beneficiaryTypeOrig,region,province,cityMunicipality,dswd,lgu,ngos,others,grandTotal,notes,notes2,index,accounting,agency,agencyCode,aidCategory,aidCategoryCode,aidType,assistanceType,agencyAllocated,value,shareOfTotalBudget,date,beneficiaryTargetValue,beneficiaryValue,beneficiaryCategory,popOfBeneficiaryCategory,beneficiaryType,shareOfPop,link,infoText,saroAllotment
Report to the Joint Congressional Oversight Committee,4/6/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,4/2/20,,16347295950,,3721833,families,low-income families,,,,,,,,,,,1,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,16347295950,10.0662,4/6/20,0,3721833,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,5/4/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,5/1/20,18138483165,16672946650,4400000,3806111,families,low-income families,,,,,,,,,,,2,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,325650700,0.2005,5/4/20,0,84228,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,5/11/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,5/8/20,18574901400,17776571400,4400000,3921378,families,low-income families,,,,,,,,,,,3,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,1103624750,0.6796,5/11/20,0,115267,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,5/18/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,5/15/20,18574901400,17979240450,4287676,4134133,families,low-income families,,,,,,,,,,,4,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,202669050,0.1248,5/18/20,0,212755,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,5/25/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,5/22/20,18574264900,18259939800,4287676,4210622,families,low-income families,,,,,,,,,,,5,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,18574264900,280699350,0.1728,5/25/20,0,76489,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,6/1/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,5/29/20,18574264900,18308191750,4287676,4222925,families,low-income families,,,,,,,,,,,6,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,48251950,0.0297,6/1/20,0,12303,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,6/8/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,6/5/20,18574264900,18362442350,4287676,4235289,families,low-income families,,,,,,,,,,,7,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,54250600,0.0334,6/8/20,0,12364,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,6/15/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,6/12/20,18574264900,18379387250,4287676,4239125,families,low-income families,,,,,,,,,,,8,expenditure,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,16944900,0.0104,6/15/20,4287676,3836,families,24747174,low-income families,0.709440601,house-user,"Assistance worth between ₱5,000 and ₱8,000, depending on location. 4Ps families get their regular grants, which include cash and rice subsidy, plus additional cash to reach the mandated amount of assistance. Non-4Ps families get cash assistance.",0
Report to the Joint Congressional Oversight Committee,4/13/20,," 2,3 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Emergency Subsidy Program,ESP,For TNVs and PUVs in NCR,cash assistance,4/9/20,,323344000,435000,40418,workers,drivers,NCR,,,,,,,,"61.56% of the total 65,661 target beneficiaries from NCR",,9,expenditure,DSWD,DSWD,labor,labor,cash,Social Amelioration Program,0,323344000,0.1991,4/13/20,0,40418,workers,,public transport drivers,,people-carry,Cash assistance of ₱8k.,0
Report to the Joint Congressional Oversight Committee,5/18/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Emergency Subsidy Program,ESP,For TNVs and PUVs in NCR,cash assistance,5/15/20,720000,496224000,90000,62028,workers,drivers,NCR,,,,,,,,,,10,expenditure,DSWD,DSWD,labor,labor,cash,Social Amelioration Program,0,172880000,0.1065,5/18/20,0,21610,workers,,public transport drivers,,people-carry,Cash assistance of ₱8k,0
Report to the Joint Congressional Oversight Committee,6/8/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Emergency Subsidy Program,ESP,For TNVs and PUVs in NCR,cash assistance,6/5/20,785056000,785056000,98132,98132,workers,drivers,NCR,,,,,,,,,,11,expenditure,DSWD,DSWD,labor,labor,cash,Social Amelioration Program,0,288832000,0.1779,6/8/20,0,36104,workers,,public transport drivers,,people-carry,Cash assistance of ₱8k,0
