dataSource,dateOfReport,reportNo,pageRef,actionPlan,actionPlanName,actionPlanProgram,implementingAgency,agencyName,programName,programAcronym,programName2,assistanceType,asOfDate,targetBudget,expendedAmount,beneficiaryTargetTotal,beneficiaryTotal,beneficaryCategoryOrig,beneficiaryTypeOrig,region,province,cityMunicipality,dswd,lgu,ngos,others,grandTotal,notes,notes2,index,agency,agencyCode,aidCategory,aidCategoryCode,aidType,assistanceType,agencyAllocated,value,shareOfTotalBudget,date,beneficiaryTargetValue,beneficiaryValue,beneficiaryCategory,beneficiaryType,shareOfPop,link,infoText
Report to the Joint Congressional Oversight Committee,4/6/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,4/2/20,,"16,347,295,950",,"3,721,833",families,low-income families,,,,,,,,,,,1,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,16347295950,10.0662,4/2/20,0,3721833,families,4Ps families,no data,house-user,These are for previous 4Ps
Report to the Joint Congressional Oversight Committee,5/4/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,5/1/20,"18,138,483,165","16,672,946,650","4,400,000","3,806,111",families,low-income families,,,,,,,,,,,2,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,325650700,0.2005,5/1/20,0,84228,families,4Ps families,no data,house-user,These are for previous 4Ps
Report to the Joint Congressional Oversight Committee,5/11/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,5/8/20,"18,574,901,400","17,776,571,400","4,400,000","3,921,378",families,low-income families,,,,,,,,,,,3,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,1103624750,0.6796,5/8/20,0,115267,families,4Ps families,no data,house-user,These are for previous 4Ps
Report to the Joint Congressional Oversight Committee,5/18/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,5/15/20,"18,574,901,400","17,979,240,450","4,287,676","4,134,133",families,low-income families,,,,,,,,,,,4,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,202669050,0.1248,5/15/20,0,212755,families,4Ps families,no data,house-user,These are for previous 4Ps
Report to the Joint Congressional Oversight Committee,5/25/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,5/22/20,"18,574,264,900","18,259,939,800","4,287,676","4,210,622",families,low-income families,,,,,,,,,,,5,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,18574264900,280699350,0.1728,5/22/20,0,76489,families,4Ps families,no data,house-user,These are for previous 4Ps
Report to the Joint Congressional Oversight Committee,6/1/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,5/29/20,"18,574,264,900","18,308,191,750","4,287,676","4,222,925",families,low-income families,,,,,,,,,,,6,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,48251950,0.0297,5/29/20,0,12303,families,4Ps families,no data,house-user,These are for previous 4Ps
Report to the Joint Congressional Oversight Committee,6/8/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,6/5/20,"18,574,264,900","18,362,442,350","4,287,676","4,235,289",families,low-income families,,,,,,,,,,,7,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,54250600,0.0334,6/5/20,0,12364,families,4Ps families,no data,house-user,These are for previous 4Ps
Report to the Joint Congressional Oversight Committee,6/15/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,Pantawid Pamilyang Pilipino,cash assistance,6/12/20,"18,574,264,900","18,379,387,250","4,287,676","4,239,125",families,low-income families,,,,,,,,,,,8,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,16944900,0.0104,6/12/20,4287676,3836,families,4Ps families,no data,house-user,These are for previous 4Ps
Report to the Joint Congressional Oversight Committee,4/13/20,," 2,3 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Emergency Subsidy Program,ESP,For TNVs and PUVs in NCR,cash assistance,4/9/20,,"323,344,000","435,000","40,418",workers,drivers,,,,,,,,,"61.56% of the total 65,661 target beneficiaries from NCR",,9,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,323344000,0.1991,4/9/20,0,40418,workers,public transport drivers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,5/18/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Emergency Subsidy Program,ESP,For TNVs and PUVs in NCR,cash assistance,5/15/20,"720,000","496,224,000","90,000","62,028",workers,drivers,,,,,,,,,,,10,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,172880000,0.1065,5/15/20,0,21610,workers,public transport drivers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,6/8/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Emergency Subsidy Program,ESP,For TNVs and PUVs in NCR,cash assistance,6/5/20,"785,056,000","785,056,000","98,132","98,132",workers,drivers,,,,,,,,,,,11,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,288832000,0.1779,6/5/20,0,36104,workers,public transport drivers,no data,people-carry,
Report to the Joint Congressional Oversight Committee,4/27/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,4/24/20,,"14,452,659,000","13,556,093","2,504,221",families,low-income families,,,,,,,,,,,12,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,14452659000,8.8995,4/24/20,0,2504221,families,low-income families,no data,house-user,These are for non-4Ps
Report to the Joint Congressional Oversight Committee,5/4/20,,2,1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,5/1/20,"82,042,820,097","37,651,263,650","13,556,093","6,455,906",families,low-income families,,,,,,,,,,,13,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,23198604650,14.2851,5/1/20,0,3951685,families,low-income families,no data,house-user,These are for non-4Ps
Report to the Joint Congressional Oversight Committee,5/11/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,5/8/20,"82,174,731,500","61,349,659,950","13,556,093","10,292,310",families,low-income families,,,,,,,,,,,14,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,23698396300,14.5928,5/8/20,0,3836404,families,low-income families,no data,house-user,These are for non-4Ps
Report to the Joint Congressional Oversight Committee,5/18/20,," 1,2 ",1,Providing emergency assistance to all affected sectors,Social Amelioration Program,DSWD,Department of Social Welfare and Development,Assistance to Individuals in Crisis Situation,AICS,For Non-4Ps,cash assistance,5/15/20,"82,174,731,500","77,552,625,500","13,556,093","12,800,838",families,low-income families,,,,,,,,,,,15,DSWD,DSWD,social welfare,social,cash,Social Amelioration Program,0,16202965550,9.9773,5/15/20,0,2508528,families,low-income families,no data,house-user,These are for non-4Ps
