dataSource,dateOfReport,reportNo,region,province,cityMunicipality,dswd,lgu,ngos,others,grandTotal,notes,index,agency,agencyCode,aidCategory,aidCategoryCode,aidType,assistanceType,agencyAllocated,value,shareOfTotalBudget,date,beneficiaryTargetValue,beneficiaryValue,beneficiaryCategory,beneficiaryType,shareOfPop,link,infoText
DSWD Dromic Reports,3/26/20,13,NCR,,,16682000,0,0,0,16682000,,1,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,16682000,0.0195,3/26/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/26/20,13,REGION I,,,377140,37760200,216500,0,38353840,,2,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,377140,0.0026,3/26/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/26/20,13,REGION III,,,3180192,139499042.1,0,0,142621643.5,,3,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,3180192,0.004,3/26/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/26/20,13,CALABARZON,,,511500,84887683.34,0,0,85399183.34,,4,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,511500,0.0022,3/26/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/26/20,13,REGION V,,,6468280.26,69051205,1356400,0,76875885.26,,5,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,6468280.26,0.0011,3/26/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/26/20,13,REGION VII,,,1071610,0,0,0,1071610,,6,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,1071610,0.0052,3/26/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/26/20,13,REGION VIII,,,0,2789723,0,0,2789723,,7,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0.0024,3/26/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/26/20,13,REGION IX,,,0,706000,0,0,706000,,8,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0.0037,3/26/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/26/20,13,REGION XI,,,2715134.5,0,0,0,2715134.5,,9,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,2715134.5,0.0059,3/26/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/26/20,13,CAR,,,621323.95,32292333,0,902240,33815896.95,,10,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,621323.95,0.0083,3/26/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/27/20,15,NCR,,,19703500,0,0,0,19703500,,11,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,3021500,0.0056,3/27/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/27/20,15,REGION I,,,377140,59011427.67,0,2622200,62010767.67,,12,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0.0019,3/27/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/27/20,15,REGION II,,,100576.08,21371495.36,0,0,21472071.44,,13,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,100576.08,0.0088,3/27/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/27/20,15,REGION III,,,4015849.5,139499042.1,0,0,143514891.6,,14,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,835657.5,0.0092,3/27/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/27/20,15,CALABARZON,,,511500,162435699.7,0,0,162947199.7,,15,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0.0057,3/27/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/27/20,15,MIMAROPA,,,0,1322000,0,0,1322000,,16,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0.0012,3/27/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/27/20,15,REGION V,,,6468280.26,117220934.3,1406400,0,125095614.6,,17,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0.0006,3/27/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/27/20,15,REGION VI,,,294840,200000,50000,0,544840,,18,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,294840,0.0002,3/27/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/27/20,15,REGION VII,,,1071610,0,0,0,1071610,,19,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0.0022,3/27/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/27/20,15,REGION VIII,,,0,2789723,0,0,2789723,,20,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0.0043,3/27/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/27/20,15,REGION IX,,,0,706000,0,0,706000,,21,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0.0018,3/27/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/27/20,15,REGION XI,,,2715134.5,0,0,0,2715134.5,,22,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0.0023,3/27/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/27/20,15,CAR,,,621323.95,34467540.7,0,1215740,36304604.65,,23,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0.004,3/27/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/29/20,17,NCR,,,22836500,0,0,0,22836500,,24,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,3133000,0.0017,3/29/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/28/20,17,REGION I,,,377140,77401834.17,16200.03,7206460,85001634.2,,25,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0.003,3/28/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
DSWD Dromic Reports,3/28/20,17,REGION II,,,100576.08,21371495.36,0,0,21472071.44,,26,DSWD,DSWD,social welfare,social,food packs and others,Food and Other Items,0,0,0.0023,3/28/20,0,,LGUs,LGUs,65.71428571,shopping-cart,"This assistance includes family food packs, ready-to-eat food, rice, sardines, coffee, hygiene kits, sleeping kits, family kits, pieces of malong, pieces of flexi mats, laminated sacks, and pieces of pillows."
