index,aidCategory,aidCategoryCode,date,label,aidType,beneficiaryType,value,beneficiaryValue,shareOfPop,agency,agencyFull,agencyAllocated,agencyUsed,agencyStatus,link
1,social welfare,social,7/1/20,Release date,credit,families,1000000000,20000,92,DSWD,Social Welfare and Development,2000000,2000000,100,credit-card
2,social welfare,social,7/1/20,Disbursement date,cash assistance,drivers,2000000000,1000000,32,DSWD,Social Welfare and Development,3000000,3000000,100,coins
3,social welfare,social,7/1/20,Release date,credit,students,3000000000,20000,92,CHED,Commission on Higher Education,2000000,2000000,100,credit-card
4,social welfare,social,7/1/20,Disbursement date,food packs,small and medium enterprises,4000000000,1000000,32,DOST,Science and Technology,3000000,3000000,100,shopping-cart
5,labor support,labor,7/1/20,Release date,repatriation,older adults,5000000000,1000000,32,DTI,Trade and Industry,3000000,3000000,100,plane-departure
6,labor support,labor,7/1/20,Disbursement date,various,schools,6000000000,1000000,32,DOLE,Labor and Employment,3000000,3000000,100,cog
7,labor support,labor,8/1/20,Release date,cash assistance,others and the locals,7000000000,1000000,32,DA,Agriculture,3000000,3000000,100,coins
8,agriculture support,agriculture,6/1/20,Disbursement date,repatriation,farmers,8000000000,1000000,32,DAR,Agricultural Reform,3000000,3000000,100,plane-departure
9,business support,business,5/1/20,Disbursement date,food packs,various,9000000000,1000000,32,DILG,The Interior and Local Government,3000000,3000000,100,shopping-cart
10,agriculture support,agriculture,7/1/20,Disbursement date,cash assistance,drivers,2000000000,1000000,32,DSWD,Social Welfare and Development,3000000,3000000,100,coins
11,business support,business,7/1/20,Disbursement date,cash assistance,drivers,2000000000,1000000,32,DSWD,Social Welfare and Development,No data,3000000,100,coins
